child_num,hex_id,dns_mapping,notes
0,6kgvaaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.0.5.2.3.20.h3.seahex.org.,"SeaHex Landing Page"
1,6kgveaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.1.5.2.3.20.h3.seahex.org.,"SeaHex Welcome Page"
2,6kgviaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.2.5.2.3.20.h3.seahex.org.,
3,6kgvmaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.3.5.2.3.20.h3.seahex.org.,
4,6kgvqaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.4.5.2.3.20.h3.seahex.org.,
5,6kgvuaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.5.5.2.3.20.h3.seahex.org.,
6,6kgvyaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.6.5.2.3.20.h3.seahex.org.,
7,6kgvaaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.0.5.2.3.20.h3.seahex.org.,
8,6kgveaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.1.5.2.3.20.h3.seahex.org.,
9,6kgviaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.2.5.2.3.20.h3.seahex.org.,
10,6kgvmaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.3.5.2.3.20.h3.seahex.org.,
11,6kgvqaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.4.5.2.3.20.h3.seahex.org.,
12,6kgvuaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.5.5.2.3.20.h3.seahex.org.,
13,6kgvyaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.6.5.2.3.20.h3.seahex.org.,
14,6kgvaaaaaaba,2.0.0.0.0.0.0.0.0.0.0.0.5.2.3.20.h3.seahex.org.,
15,6kgveaaaaaba,2.0.0.0.0.0.0.0.0.0.0.1.5.2.3.20.h3.seahex.org.,
16,6kgviaaaaaba,2.0.0.0.0.0.0.0.0.0.0.2.5.2.3.20.h3.seahex.org.,
17,6kgvmaaaaaba,2.0.0.0.0.0.0.0.0.0.0.3.5.2.3.20.h3.seahex.org.,
18,6kgvqaaaaaba,2.0.0.0.0.0.0.0.0.0.0.4.5.2.3.20.h3.seahex.org.,
19,6kgvuaaaaaba,2.0.0.0.0.0.0.0.0.0.0.5.5.2.3.20.h3.seahex.org.,
20,6kgvyaaaaaba,2.0.0.0.0.0.0.0.0.0.0.6.5.2.3.20.h3.seahex.org.,
21,6kgvaaaaaabq,3.0.0.0.0.0.0.0.0.0.0.0.5.2.3.20.h3.seahex.org.,
22,6kgveaaaaabq,3.0.0.0.0.0.0.0.0.0.0.1.5.2.3.20.h3.seahex.org.,
23,6kgviaaaaabq,3.0.0.0.0.0.0.0.0.0.0.2.5.2.3.20.h3.seahex.org.,
24,6kgvmaaaaabq,3.0.0.0.0.0.0.0.0.0.0.3.5.2.3.20.h3.seahex.org.,
25,6kgvqaaaaabq,3.0.0.0.0.0.0.0.0.0.0.4.5.2.3.20.h3.seahex.org.,
26,6kgvuaaaaabq,3.0.0.0.0.0.0.0.0.0.0.5.5.2.3.20.h3.seahex.org.,
27,6kgvyaaaaabq,3.0.0.0.0.0.0.0.0.0.0.6.5.2.3.20.h3.seahex.org.,
28,6kgvaaaaaaca,4.0.0.0.0.0.0.0.0.0.0.0.5.2.3.20.h3.seahex.org.,
29,6kgveaaaaaca,4.0.0.0.0.0.0.0.0.0.0.1.5.2.3.20.h3.seahex.org.,
30,6kgviaaaaaca,4.0.0.0.0.0.0.0.0.0.0.2.5.2.3.20.h3.seahex.org.,
31,6kgvmaaaaaca,4.0.0.0.0.0.0.0.0.0.0.3.5.2.3.20.h3.seahex.org.,
32,6kgvqaaaaaca,4.0.0.0.0.0.0.0.0.0.0.4.5.2.3.20.h3.seahex.org.,
33,6kgvuaaaaaca,4.0.0.0.0.0.0.0.0.0.0.5.5.2.3.20.h3.seahex.org.,
34,6kgvyaaaaaca,4.0.0.0.0.0.0.0.0.0.0.6.5.2.3.20.h3.seahex.org.,
35,6kgvaaaaaacq,5.0.0.0.0.0.0.0.0.0.0.0.5.2.3.20.h3.seahex.org.,
36,6kgveaaaaacq,5.0.0.0.0.0.0.0.0.0.0.1.5.2.3.20.h3.seahex.org.,
37,6kgviaaaaacq,5.0.0.0.0.0.0.0.0.0.0.2.5.2.3.20.h3.seahex.org.,
38,6kgvmaaaaacq,5.0.0.0.0.0.0.0.0.0.0.3.5.2.3.20.h3.seahex.org.,
39,6kgvqaaaaacq,5.0.0.0.0.0.0.0.0.0.0.4.5.2.3.20.h3.seahex.org.,
40,6kgvuaaaaacq,5.0.0.0.0.0.0.0.0.0.0.5.5.2.3.20.h3.seahex.org.,
41,6kgvyaaaaacq,5.0.0.0.0.0.0.0.0.0.0.6.5.2.3.20.h3.seahex.org.,
42,6kgvaaaaaada,6.0.0.0.0.0.0.0.0.0.0.0.5.2.3.20.h3.seahex.org.,
43,6kgveaaaaada,6.0.0.0.0.0.0.0.0.0.0.1.5.2.3.20.h3.seahex.org.,
44,6kgviaaaaada,6.0.0.0.0.0.0.0.0.0.0.2.5.2.3.20.h3.seahex.org.,
45,6kgvmaaaaada,6.0.0.0.0.0.0.0.0.0.0.3.5.2.3.20.h3.seahex.org.,
46,6kgvqaaaaada,6.0.0.0.0.0.0.0.0.0.0.4.5.2.3.20.h3.seahex.org.,
47,6kgvuaaaaada,6.0.0.0.0.0.0.0.0.0.0.5.5.2.3.20.h3.seahex.org.,
48,6kgvyaaaaada,6.0.0.0.0.0.0.0.0.0.0.6.5.2.3.20.h3.seahex.org.,
