child_num,hex_id,dns_mapping,notes
0,6kgruaaaaaaa,0.0.0.0.0.0.0.0.0.0.0.5.1.2.3.20.h3.vichex.ca.,
1,6kgruqaaaaaa,0.0.0.0.0.0.0.0.0.0.1.5.1.2.3.20.h3.vichex.ca.,
2,6kgrvaaaaaaa,0.0.0.0.0.0.0.0.0.0.2.5.1.2.3.20.h3.vichex.ca.,
3,6kgrvqaaaaaa,0.0.0.0.0.0.0.0.0.0.3.5.1.2.3.20.h3.vichex.ca.,"Vichex.ca Landing Page"
4,6kgrwaaaaaaa,0.0.0.0.0.0.0.0.0.0.4.5.1.2.3.20.h3.vichex.ca.,"Wikipedia - Victoria"
5,6kgrwqaaaaaa,0.0.0.0.0.0.0.0.0.0.5.5.1.2.3.20.h3.vichex.ca.,
6,6kgrxaaaaaaa,0.0.0.0.0.0.0.0.0.0.6.5.1.2.3.20.h3.vichex.ca.,
7,6kgruaaaaaaq,1.0.0.0.0.0.0.0.0.0.0.5.1.2.3.20.h3.vichex.ca.,
8,6kgruqaaaaaq,1.0.0.0.0.0.0.0.0.0.1.5.1.2.3.20.h3.vichex.ca.,
9,6kgrvaaaaaaq,1.0.0.0.0.0.0.0.0.0.2.5.1.2.3.20.h3.vichex.ca.,
10,6kgrvqaaaaaq,1.0.0.0.0.0.0.0.0.0.3.5.1.2.3.20.h3.vichex.ca.,"Victoria Arts Map - HackMD"
11,6kgrwaaaaaaq,1.0.0.0.0.0.0.0.0.0.4.5.1.2.3.20.h3.vichex.ca.,
12,6kgrwqaaaaaq,1.0.0.0.0.0.0.0.0.0.5.5.1.2.3.20.h3.vichex.ca.,
13,6kgrxaaaaaaq,1.0.0.0.0.0.0.0.0.0.6.5.1.2.3.20.h3.vichex.ca.,
14,6kgruaaaaaba,2.0.0.0.0.0.0.0.0.0.0.5.1.2.3.20.h3.vichex.ca.,
15,6kgruqaaaaba,2.0.0.0.0.0.0.0.0.0.1.5.1.2.3.20.h3.vichex.ca.,
16,6kgrvaaaaaba,2.0.0.0.0.0.0.0.0.0.2.5.1.2.3.20.h3.vichex.ca.,
17,6kgrvqaaaaba,2.0.0.0.0.0.0.0.0.0.3.5.1.2.3.20.h3.vichex.ca.,
18,6kgrwaaaaaba,2.0.0.0.0.0.0.0.0.0.4.5.1.2.3.20.h3.vichex.ca.,
19,6kgrwqaaaaba,2.0.0.0.0.0.0.0.0.0.5.5.1.2.3.20.h3.vichex.ca.,
20,6kgrxaaaaaba,2.0.0.0.0.0.0.0.0.0.6.5.1.2.3.20.h3.vichex.ca.,
21,6kgruaaaaabq,3.0.0.0.0.0.0.0.0.0.0.5.1.2.3.20.h3.vichex.ca.,
